measurement UID,file URL,msID,shelfmark,collection,part,part ID,part type,text,leaves,leaf height,leaf height max,leaf height min,leaf width,leaf width max,leaf width min,leaf depth,leaf depth max,leaf depth min,leaf unit,roll height,roll height max,roll height min,roll width,roll width max,roll width min,roll unit,fragment height,fragment height max,fragment height min,fragment width,fragment width max,fragment width min,fragment unit,columns,columns max,columns min,column height,column height max,column height min,column width,column width max,column width min,column unit,writtenLines,writtenLines max,writtenLines min,written height,written height max,written height min,written width,written width max,written width min,written unit,ruledLines,rulesLines max,ruledLines min,ruled height,ruled height max,ruled height min,ruled width,ruled width max,ruled width min,ruled unit,rulingMedium,topLine
MS_Savile_55_measure_2,manuscript_8832,MS_Savile_55,MS. Savile 55,Savile,,MS_Savile_55-partA,,"Ruled in brown plummet for two columns; fols. 1r–10v with an increasing number of lines, from 35 to 41; thereafter with 35–37 lines. Ruled space , with 23-5 mm. between columns.175 130",,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,35 41,41,35,,,,,,,,,,,175,175,175,130,130,130,mm,,
MS_Arch_Selden_A_1_measure_1,manuscript_8834,MS_Arch_Selden_A_1,MS. Arch. Selden. A. 1,Arch Selden,,MS_Arch_Selden_A_1,,"i (paper, 16th cent.) + ii (paper, added 1985–6) + i (paper, 16th cent.) + 71 + i (paper, 16th cent.) + 10 + iii (paper, 17th cent.), foliated i-ii, 1–85.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Arch_Selden_A_1_measure_2,manuscript_8834,MS_Arch_Selden_A_1,MS. Arch. Selden. A. 1,Arch Selden,,,,"i (paper, 16th cent.) + ii (paper, added 1985–6) + i (paper, 16th cent.) + 71 + i (paper, 16th cent.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Arch_Selden_A_2_measure_1,manuscript_8835,MS_Arch_Selden_A_2,MS. Arch. Selden. A. 2,Arch Selden,,MS_Arch_Selden_A_2,,20 leaves 275 275,,275,275,275,275,275,275,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Arch_Selden_A_72_3_measure_1,manuscript_8836,MS_Arch_Selden_A_72_3,MS. Arch. Selden. A. 72 (3),Arch Selden,,MS_Arch_Selden_A_72_3,,38 350,,,,,,,,,,,,38,38,38,350,350,350,cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Arch_Selden_B_11_measure_1,manuscript_8838,MS_Arch_Selden_B_11,MS. Arch. Selden. B. 11,Arch Selden,,MS_Arch_Selden_B_11,,2 cols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Arch_Selden_B_13_measure_1,manuscript_8839,MS_Arch_Selden_B_13,MS. Arch. Selden. B. 13,Arch Selden,,MS_Arch_Selden_B_13,,2 cols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Arch_Selden_B_23_measure_1,manuscript_8848,MS_Arch_Selden_B_23,MS. Arch. Selden. B. 23,Arch Selden,,MS_Arch_Selden_B_23,,154 leaves 12.375 9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Arch_Selden_B_24_measure_1,manuscript_8849,MS_Arch_Selden_B_24,MS. Arch. Selden. B. 24,Arch Selden,,MS_Arch_Selden_B_24,,"In the first scribe’s stint, the vertical left text frame is generally ruled in red up to the change of hand on fol. 209v. Curiously, the first scribe’s ruling stops at the end of his stint mid-page, at the foot of the second stanza. In the second scribe’s stint, the vertical left text frame and the top horizontal margin are ruled in plummet. The text is not ruled throughout. The number of lines to a page varies from 32 to 43. Pricking trimmed.",,260,260,260,175,175,175,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Arch_Selden_B_50_measure_1,manuscript_8873,MS_Arch_Selden_B_50,MS. Arch. Selden. B. 50,Arch Selden,,MS_Arch_Selden_B_50,,190 leaves 10.625 5.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
