metadata: origin UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: origin,overview: additions,locus: locus,locus: from,locus: to,orig date: date,orig date: when,orig date: not before,orig date: not after,orig date: certainty,orig date: calendar,orig place: place,orig place: country,orig place: country ID,orig place: country lat,orig place: country long,orig place: region,orig place: region ID,orig place: region lat,orig place: region long,orig place: settlement,orig place: settlement ID,orig place: settlement lat,orig place: settlement long,orig org: org,orig org: org ID,orig org: org lat,orig org: org long,add date: date,add date: when,add date: not before,add date: not after,add date: certainty,add date: calendar,add place: place,add place: country,add place: country ID,add place: country lat,add place: country long,add place: region,add place: region ID,add place: region lat,add place: region long,add place: settlement,add place: settlement ID,add place: settlement lat,add place: settlement long,add org: org,add org: org ID,add org: org lat,add org: org long,bibliography: bibl(s),bibliography: ref(s),bibliography: ref ID(s),bibliography: note(s)
_origin_1,manuscript_11811,,,"Cambridge, Christ's College, MS Rouse 262",part,,,16th century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_2,manuscript_11811,,,"Cambridge, Christ's College, MS Rouse 262",part,,,in the 16th century,,,,,in the 16th century,,1500,1599,,gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_3,manuscript_11811,,,"Cambridge, Christ's College, MS Rouse 262",part,,,in the 16th century,,,,,"
                                    in the 16th century",,1500,1599,,gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_4,manuscript_11811,,,"Cambridge, Christ's College, MS Rouse 262",part,,,in the 16th century,,,,,"
                                    in the 16th century",,1500,1599,,gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_11812,,,"Cambridge, Christ's College, MS Rouse 263",manuscript,,MS-CHRISTS-COLLEGE-ROUSE-00263,"f. 107r, lines 8-11 late 16th or first half of the 17th century",,"f. 107r, lines 8-11",107r,107r,"late 16th or
                                first half of the 17th century",,1580,1650,,gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_11813,,,"Cambridge, Christ's College, MS Rouse 264",manuscript,,MS-CHRISTS-COLLEGE-ROUSE-00264,mid-17th century 1623 ff. 318r-327v,,ff. 318r-327v,318r,327v,"mid-17th
                                century",,1633,1663,,gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_11814,,,"Cambridge, Christ's College, MS Rouse 265",manuscript,,MS-CHRISTS-COLLEGE-ROUSE-00265,17th century f. 1r μονῆς Γε,,f. 1r,1r,1r, 17th century,,1600,1700,,gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_11816,,,"Cambridge, Christ's College, MS Rouse 298",manuscript-composite,,MS-CHRISTS-COLLEGE-ROUSE-00298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_1,manuscript_11816,,,"Cambridge, Christ's College, MS Rouse 298",part,,,11th century 14th or 15th century,,,,,11th century,,1000,1099,,gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_2,manuscript_11816,,,"Cambridge, Christ's College, MS Rouse 298",part,,,11th century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_origin_3,manuscript_11816,,,"Cambridge, Christ's College, MS Rouse 298",part,,,second half of the 14th century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
