metadata: measurement UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,extent: extent,extent: n folios,extent: n endleaves,extent: n later endleaves,rolls: height,rolls: height max,rolls: height min,rolls: width,rolls: width max,rolls: width min,rolls: unit,rolls: converted,fragments: height,fragments: height max,fragments: height min,fragments: width,fragments: width max,fragments: width min,fragments: unit,leaves: height,leaves: height max,leaves: height min,leaves: width,leaves: width max,leaves: width min,leaves: depth,leaves: depth max,leaves: depth min,leaves: unit,columns: n,columns: n max,columns: n min,columns: height,columns: height max,columns: height min,columns: width,columns: width max,columns: width min,columns: unit,intercolumn: width,intercolumn: width max,intercolumn: width min,intercolumn: unit,written area: n,written area: n max,written area: n min,written area: height,written area: height max,written area: height min,written area: width,written area: width max,written area: width min,written area: unit,ruling: n,ruling: n max,ruling: n min,ruling: height,ruling: height max,ruling: height min,ruling: width,ruling: width max,ruling: width min,ruling: unit,ruling: medium,ruling: top line
_measure_2,manuscript_1,,,"Cambridge, Trinity College, MS O.8.31",part,,,Codex: 3 leaves. 200 145,,3.0,,,,,,,,,,,,,,,,,200.0,200.0,200.0,145.0,145.0,145.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_3,manuscript_1,,,"Cambridge, Trinity College, MS O.8.31",part,,,Codex: 112 leaves. 210 145,112.0,,,,,,,,,,,,,,,,,,210.0,210.0,210.0,145.0,145.0,145.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,42.0,42.0,42.0,160-165,165.0,160.0,100-105,105.0,100.0,mm,,,,,,,,,,,leadpoint,below
_measure_4,manuscript_1,,,"Cambridge, Trinity College, MS O.8.31",part,,,Codex: 14 leaves. 215 140,14.0,,,,,,,,,,,,,,,,,,215.0,215.0,215.0,140.0,140.0,140.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,37.0,37.0,37.0,145.0,145.0,145.0,90.0,90.0,90.0,mm,,,,,,,,,,,ink,below
_measure_5,manuscript_1,,,"Cambridge, Trinity College, MS O.8.31",part,,,Codex: 36 leaves. 215 145,36.0,,,,,,,,,,,,,,,,,,215.0,215.0,215.0,145.0,145.0,145.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,31.0,31.0,31.0,150-155,155.0,150.0,105.0,105.0,105.0,mm,,,,,,,,,,,ink,below
_measure_6,manuscript_1,,,"Cambridge, Trinity College, MS O.8.31",part,,,Codex: 14 leaves. 215 145S,14.0,,,,,,,,,,,,,,,,,,215.0,215.0,215.0,145.0,145.0,145.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,52.0,52.0,52.0,185.0,185.0,185.0,105-110,110.0,105.0,mm,,,,,,,,,,,ink,below
_measure_7,manuscript_1,,,"Cambridge, Trinity College, MS O.8.31",part,,,Codex: 21 leaves. 215 145,21.0,,,,,,,,,,,,,,,,,,215.0,215.0,215.0,145.0,145.0,145.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,34.0,34.0,34.0,160.0,160.0,160.0,110.0,110.0,105.0,mm,,,,,,,,,,,ink,below
_measure_8,manuscript_1,,,"Cambridge, Trinity College, MS O.8.31",part,,,Codex: 2 leaves. 200 145,,2.0,,,,,,,,,,,,,,,,,200.0,200.0,200.0,145.0,145.0,145.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_1,manuscript_1,,,"Cambridge, Trinity College, MS O.8.35",manuscript,,MS-TRINITY-COLLEGE-O-00008-00035,Codex: iii + 4 + 127 + i leaves. 210 150,127.0,,8.0,,,,,,,,,,,,,,,,210.0,210.0,210.0,150.0,150.0,150.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,22 23,23.0,22.0,140.0,140.0,140.0,95.0,95.0,95.0,mm,,,,,,,,,,,leadpoint,above
_measure_2,manuscript_1,,,"Cambridge, Trinity College, MS O.8.35",manuscript,,MS-TRINITY-COLLEGE-O-00008-00035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_1,manuscript_1,,,"Cambridge, Trinity College, MS O.8.36",manuscript,,MS-TRINITY-COLLEGE-00008-00036,Codex: ii + 139 + ii leaves. 215 150,139.0,,4.0,,,,,,,,,,,,,,,,215.0,215.0,215.0,150.0,150.0,150.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,28 50,50.0,28.0,160-180,180.0,160.0,110-120,120.0,110.0,mm,,,,,,,,,,,hardpoint,below
_measure_2,manuscript_1,,,"Cambridge, Trinity College, MS O.8.36",manuscript,,MS-TRINITY-COLLEGE-00008-00036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
