measurement UID,file URL,msID,shelfmark,collection,part,part ID,part type,layout or extent,text,leaves,leaf height,leaf height max,leaf height min,leaf width,leaf width max,leaf width min,leaf depth,leaf depth max,leaf depth min,leaf unit,roll height,roll height max,roll height min,roll width,roll width max,roll width min,roll unit,fragment height,fragment height max,fragment height min,fragment width,fragment width max,fragment width min,fragment unit,columns,columns max,columns min,column height,column height max,column height min,column width,column width max,column width min,column unit,writtenLines,writtenLines max,writtenLines min,written height,written height max,written height min,written width,written width max,written width min,written unit,ruledLines,rulesLines max,ruledLines min,ruled height,ruled height max,ruled height min,ruled width,ruled width max,ruled width min,ruled unit,rulingMedium,topLine
MS_Douce_178_measure_2,manuscript_4548,MS_Douce_178,MS. Douce 178,Douce,,MS_Douce_178,,tei:layout,2 cols.,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_178_measure_1,manuscript_4548,MS_Douce_178,MS. Douce 178,Douce,,MS_Douce_178,,tei:extent,iv + 423 leaves 13 9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_18_measure_2,manuscript_4549,MS_Douce_18,MS. Douce 18,Douce,,MS_Douce_18,,tei:layout,"The Psalms section is ruled in ink with single vertical and double horizontal bounding lines, extending the full height and width of page; written below the top line. Fols. 1r–6v, 36v–41v, 56v–66v, 256r–259v are ruled for 27 to 33 lines, written space: c. .78–84 50–60",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,27 33,33,27,,,,,,,,,,,78–84,78–84,78–84,50–60,50–60,50–60,mm,,
MS_Douce_18_measure_3,manuscript_4549,MS_Douce_18,MS. Douce 18,Douce,,MS_Douce_18,,tei:layout,"Fols. 7r–36r, 42r–v, 53v–56r are ruled for 2 columns of 30 to 33 lines, written space: c. .84 50–60",,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,30 33,33,30,,,,,,,,,,,84,84,84,50–60,50–60,50–60,mm,,
MS_Douce_18_measure_4,manuscript_4549,MS_Douce_18,MS. Douce 18,Douce,,MS_Douce_18,,tei:layout,"Fols. 67r–255v are ruled for 22–23 lines, written space: c. .66 36",,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,22 23,23,22,,,,,,,,,,,66,66,66,36,36,36,mm,,
MS_Douce_18_measure_1,manuscript_4549,MS_Douce_18,MS. Douce 18,Douce,,MS_Douce_18,,tei:extent,265 leaves 111 75,,111,111,111,75,75,75,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_180_measure_1,manuscript_4550,MS_Douce_180,MS. Douce 180,Douce,,MS_Douce_180,,tei:extent,61 + ii fols. 310 215,,310,310,310,215,215,215,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_180_measure_2,manuscript_4550,MS_Douce_180,MS. Douce 180,Douce,,MS_Douce_180,,tei:layout,"2 cols., , 31 lines to a full page, a variable number when small script is also used.225 65",,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,225,225,225,65,65,65,mm,31,31,31,,,,,,,,,,,,,,,,,,,
MS_Douce_181_measure_1,manuscript_4551,MS_Douce_181,MS. Douce 181,Douce,,MS_Douce_181,,tei:extent,61 leaves 12 8.125,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_182_measure_1,manuscript_4552,MS_Douce_182,MS. Douce 182,Douce,,MS_Douce_182,,tei:extent,12 leaves 14.37510.875,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_185_measure_3,manuscript_4553,MS_Douce_185,MS. Douce 185,Douce,,MS_Douce_185,,tei:layout,"Fols. 166–181 (quires 22–23) 17–19 lines, ruled space , partly above top line195–210 140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195–210,195–210,195–210,140,140,140,mm,,
MS_Douce_185_measure_4,manuscript_4553,MS_Douce_185,MS. Douce 185,Douce,,MS_Douce_185,,tei:layout,"Fols. 182–196 (quires 24–25): 20 long lines, ruled space , above top line, except for fols. 195–6, below top line, so 19 lines.220 140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,220,220,140,140,140,mm,,
MS_Douce_185_measure_1,manuscript_4553,MS_Douce_185,MS. Douce 185,Douce,,MS_Douce_185,,tei:extent,i (early paper endleaf) + 197 + i (early paper endleaf) 310 220,,310,310,310,220,220,220,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_185_measure_2,manuscript_4553,MS_Douce_185,MS. Douce 185,Douce,,MS_Douce_185,,tei:layout,"Usually 2 columns of 15 lines, ruled space 180–5 140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180–5,180–5,180–5,140,140,140,mm,,
MS_Douce_186_measure_2,manuscript_4554,MS_Douce_186,MS. Douce 186,Douce,,MS_Douce_186,,tei:layout,Irregular number of lines per page (pages unruled). Written space c. 245–280 145–165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245–280,280,245,145–165,165 ,145,mm,,,,,,,,,,,,
MS_Douce_186_measure_1,manuscript_4554,MS_Douce_186,MS. Douce 186,Douce,,MS_Douce_186,,tei:extent,"86 leaves, foliated in modern pencil as 85 (two leaves are numbered fol. 35) 306 214",,306,306,306,214,214,214,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_188_measure_1,manuscript_4555,MS_Douce_188,MS. Douce 188,Douce,,MS_Douce_188,,tei:extent,"ii + 178 leaves, in double columns 12.7511.875",178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_189_measure_1,manuscript_4556,MS_Douce_189,MS. Douce 189,Douce,,MS_Douce_189,,tei:extent,"iv + 81 leaves, in double columns 12.758.375",81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_19_measure_2,manuscript_4557,MS_Douce_19,MS. Douce 19,Douce,,MS_Douce_19,,tei:layout,20 long lines,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,20,20,20,,,,,,,,,,,,,,,,,,,
MS_Douce_19_measure_1,manuscript_4557,MS_Douce_19,MS. Douce 19,Douce,,MS_Douce_19,,tei:extent,iii + 168 leaves 4.75 3.375 115 75 87 48,168,115,115,115,75,75,75,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,87,87,48,48,48,mm,,,,,,,,,,,,
MS_Douce_192_measure_1,manuscript_4558,MS_Douce_192,MS. Douce 192,Douce,,MS_Douce_192,,tei:extent,iv + 64 leaves 13.259.75,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_194_measure_1,manuscript_4559,MS_Douce_194,MS. Douce 194,Douce,,MS_Douce_194,,tei:extent,xviii + 602 pages 13.58.75,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_195_measure_2,manuscript_4560,MS_Douce_195,MS. Douce 195,Douce,,MS_Douce_195,,tei:layout,2 cols,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_195_measure_1,manuscript_4560,MS_Douce_195,MS. Douce 195,Douce,,MS_Douce_195,,tei:extent,ii + 158 leaves 14 9.75,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Douce_196_measure_2,manuscript_4561,MS_Douce_196,MS. Douce 196,Douce,,MS_Douce_196,,tei:layout,"2 cols., 45 lines, column space 255 75",,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,255,255,255,75,75,75,mm,45,45,45,,,,,,,,,,,,,,,,,,,
